"Name","PositionShort","PositionLong","Wiki","Birthdate","Deathdate","Deathcause"
"Vladimir Lenin","SNK chairman",,"https://en.wikipedia.org/wiki/Vladimir_Lenin","22 April 1870","21 January 1924","natural causes (stroke)"
"Alexei Rykov","SNK Internal Affairs",,"https://en.wikipedia.org/wiki/Alexei_Rykov","25 February 1881","15 March 1938","execution by NKVD"
"Vladimir Milyutin","SNK Agriculture",,"https://en.wikipedia.org/wiki/Vladimir_Milyutin","5 September 1884","30 October 1937","execution by NKVD"
"Alexander Shliapnikov","SNK Labor",,"https://en.wikipedia.org/wiki/Alexander_Shliapnikov","30 August 1885","2 September 1937","execution by NKVD"
"Vladimir Ovseenko ","SNK Military and Maritime Affairs",,"https://en.wikipedia.org/wiki/Vladimir_Antonov-Ovseyenko","9 March 1883","10 February 1938","execution by NKVD"
"Nikolai Krylenko","SNK Military and Maritime Affairs",,"https://en.wikipedia.org/wiki/Nikolai_Krylenko","2 May 1885","29 July 1938","execution by NKVD"
"Pavel Dybenko","SNK Military and Maritime Affairs",,"https://en.wikipedia.org/wiki/Pavel_Dybenko","16 February 1889","29 July 1938","execution by NKVD"
"Viktor Nogin","SNK Trade and Industry",,"https://en.wikipedia.org/wiki/Viktor_Nogin","14 February 1878","22 May 1924","natural causes"
"Anatoly Lunacharsky","SNK Education",,"https://en.wikipedia.org/wiki/Anatoly_Lunacharsky","23 November 1875","26 December 1933","natural causes"
"Ivan Skvortsov-Stepanov","SNK Finance",,"https://en.wikipedia.org/wiki/Ivan_Skvortsov-Stepanov","24 February 1870","8 October 1928","natural causes (typhus)"
"Leon Trotsky","SNK Foreign Affairs",,"https://en.wikipedia.org/wiki/Leon_Trotsky","7 November 1879","21 August 1940","assassination by NKVD"
"Georgy Oppokov","SNK Justice",,"https://en.wikipedia.org/wiki/Georgy_Oppokov","28 January 1888","2 September 1937","execution by NKVD"
"Ivan Teodorovich","SNK Food",,"https://en.wikipedia.org/wiki/Ivan_Teodorovich","10 September 1875","20 September 1937","execution by NKVD"
"Nikolai Glebov-Avilov","SNK Mail and Telegraphs",,"https://en.wikipedia.org/wiki/Nikolai_Glebov-Avilov","11 October 1887","13 March 1937","execution by NKVD"
"Joseph Stalin","SNK Nationality Affairs",,"https://en.wikipedia.org/wiki/Joseph_Stalin","8 December 1878","5 March 1953","natural causes (stroke)"
"Fyodor Sergeyev","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Fyodor_Sergeyev","19 March 1883","24 July 1921","transport accident"
"Jan Antonovich Berzin","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Jan_Antonovich_Berzin","29 November 1890","14 April 1938","execution by NKVD"
"Nikolai Bukharin","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Nikolai_Bukharin","9 October 1888","15 March 1938","execution by NKVD"
"Andrei Bubnov","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Andrei_Bubnov","23 March 1883","1 August 1938","execution by NKVD"
"Felix Dzerzhinsky","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Felix_Dzerzhinsky","11 September 1877","20 July 1926","natural causes (heart attack)"
"Grigory Zinoviev","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Grigory_Zinoviev","23 September 1883","25 August 1936","execution by NKVD"
"Lev Kamenev","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Lev_Kamenev","18 July 1883","25 August 1936","execution by NKVD"
"Alexandra Kollontai","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Alexandra_Kollontai","31 March 1872","9 March 1952","natural causes"
"Nikolay Krestinsky","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Nikolay_Krestinsky","13 October 1883","15 March 1938","execution by NKVD"
"Vladimir Milyutin","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Vladimir_Milyutin","REPEAT","REPEAT","REPEAT"
